Date,Source,State,Potential Capacity,Installed Capacity
2023-11-01,Solar,Himachal Pradesh,748990.0,72311.72
2023-11-01,Bio Power,Himachal Pradesh,25094.0,10836.37
2023-11-01,Small-Hydro,Himachal Pradesh,21130.0,4986.74
2023-11-01,Hydro,Jammu and Kashmir,145320.0,46880.17
2023-11-01,Wind,Jammu and Kashmir,695509.0,44563.68
2023-11-01,Solar,Jammu and Kashmir,748990.0,72311.72
2023-11-01,Bio Power,Jammu and Kashmir,25094.0,10836.37
2023-11-01,Small-Hydro,Jammu and Kashmir,21130.0,4986.74
2023-11-01,Hydro,Jharkhand,145320.0,46880.17
2023-11-01,Wind,Jharkhand,695509.0,44563.68
2023-11-01,Solar,Jharkhand,748990.0,72311.72
2023-11-01,Bio Power,Jharkhand,25094.0,10836.37
2023-11-01,Small-Hydro,Jharkhand,21130.0,4986.74
2023-11-01,Hydro,Karnataka,145320.0,46880.17
2023-11-01,Wind,Karnataka,695509.0,44563.68
2023-11-01,Solar,Karnataka,748990.0,72311.72
2023-11-01,Bio Power,Karnataka,25094.0,10836.37
2023-11-01,Small-Hydro,Karnataka,21130.0,4986.74
2023-11-01,Hydro,Kerala,145320.0,46880.17
2023-11-01,Wind,Kerala,695509.0,44563.68
2023-11-01,Solar,Kerala,748990.0,72311.72
2023-11-01,Bio Power,Kerala,25094.0,10836.37
2023-11-01,Small-Hydro,Kerala,21130.0,4986.74
2023-11-01,Hydro,Ladakh,145320.0,46880.17
2023-11-01,Wind,Ladakh,695509.0,44563.68
2023-11-01,Solar,Ladakh,748990.0,72311.72
2023-11-01,Bio Power,Ladakh,25094.0,10836.37
2023-11-01,Small-Hydro,Ladakh,21130.0,4986.74
2023-11-01,Hydro,Lakshadweep,145320.0,46880.17
2023-11-01,Wind,Lakshadweep,695509.0,44563.68
2023-11-01,Solar,Lakshadweep,748990.0,72311.72
2023-11-01,Bio Power,Lakshadweep,25094.0,10836.37
2023-11-01,Small-Hydro,Lakshadweep,21130.0,4986.74
2023-11-01,Hydro,Madhya Pradesh,145320.0,46880.17
2023-11-01,Wind,Madhya Pradesh,695509.0,44563.68
2023-11-01,Solar,Madhya Pradesh,748990.0,72311.72
2023-11-01,Bio Power,Madhya Pradesh,25094.0,10836.37
2023-11-01,Small-Hydro,Madhya Pradesh,21130.0,4986.74
2023-11-01,Hydro,Maharashtra,145320.0,46880.17
2023-11-01,Wind,Maharashtra,695509.0,44563.68
2023-11-01,Solar,Maharashtra,748990.0,72311.72
2023-11-01,Bio Power,Maharashtra,25094.0,10836.37
2023-11-01,Small-Hydro,Maharashtra,21130.0,4986.74
2023-11-01,Hydro,Manipur,145320.0,46880.17
2023-11-01,Wind,Manipur,695509.0,44563.68
2023-11-01,Solar,Manipur,748990.0,72311.72
2023-11-01,Bio Power,Manipur,25094.0,10836.37
2023-11-01,Small-Hydro,Manipur,21130.0,4986.74
2023-11-01,Hydro,Meghalaya,145320.0,46880.17
2023-11-01,Wind,Meghalaya,695509.0,44563.68
2023-11-01,Solar,Meghalaya,748990.0,72311.72
2023-11-01,Bio Power,Meghalaya,25094.0,10836.37
2023-11-01,Small-Hydro,Meghalaya,21130.0,4986.74
2023-11-01,Hydro,Mizoram,145320.0,46880.17
2023-11-01,Wind,Mizoram,695509.0,44563.68
2023-11-01,Solar,Mizoram,748990.0,72311.72
2023-11-01,Bio Power,Mizoram,25094.0,10836.37
2023-11-01,Small-Hydro,Mizoram,21130.0,4986.74
2023-11-01,Hydro,Nagaland,145320.0,46880.17
2023-11-01,Wind,Nagaland,695509.0,44563.68
2023-11-01,Solar,Nagaland,748990.0,72311.72
2023-11-01,Bio Power,Nagaland,25094.0,10836.37
2023-11-01,Small-Hydro,Nagaland,21130.0,4986.74
2023-11-01,Hydro,Odisha,145320.0,46880.17
2023-11-01,Wind,Odisha,695509.0,44563.68
2023-11-01,Solar,Odisha,748990.0,72311.72
2023-11-01,Bio Power,Odisha,25094.0,10836.37
2023-11-01,Small-Hydro,Odisha,21130.0,4986.74
2023-11-01,Hydro,Others,145320.0,46880.17
2023-11-01,Wind,Others,695509.0,44563.68
2023-11-01,Solar,Others,748990.0,72311.72
2023-11-01,Bio Power,Others,25094.0,10836.37
2023-11-01,Small-Hydro,Others,21130.0,4986.74
2023-11-01,Hydro,Puducherry,145320.0,46880.17
2023-11-01,Wind,Puducherry,695509.0,44563.68
2023-11-01,Solar,Puducherry,748990.0,72311.72
2023-11-01,Bio Power,Puducherry,25094.0,10836.37
2023-11-01,Small-Hydro,Puducherry,21130.0,4986.74
2023-11-01,Hydro,Punjab,145320.0,46880.17
2023-11-01,Wind,Punjab,695509.0,44563.68
2023-11-01,Solar,Punjab,748990.0,72311.72
2023-11-01,Bio Power,Punjab,25094.0,10836.37
2023-11-01,Small-Hydro,Punjab,21130.0,4986.74
2023-11-01,Hydro,Rajasthan,145320.0,46880.17
2023-11-01,Wind,Rajasthan,695509.0,44563.68
2023-11-01,Solar,Rajasthan,748990.0,72311.72
2023-11-01,Bio Power,Rajasthan,25094.0,10836.37
2023-11-01,Small-Hydro,Rajasthan,21130.0,4986.74
2023-11-01,Hydro,Sikkim,145320.0,46880.17
2023-11-01,Wind,Sikkim,695509.0,44563.68
2023-11-01,Solar,Sikkim,748990.0,72311.72
2023-11-01,Bio Power,Sikkim,25094.0,10836.37
2023-11-01,Small-Hydro,Sikkim,21130.0,4986.74
2023-11-01,Hydro,Tamil Nadu,145320.0,46880.17
2023-11-01,Wind,Tamil Nadu,695509.0,44563.68
2023-11-01,Solar,Tamil Nadu,748990.0,72311.72
2023-11-01,Bio Power,Tamil Nadu,25094.0,10836.37
2023-11-01,Small-Hydro,Tamil Nadu,21130.0,4986.74
2023-11-01,Hydro,Telangana,145320.0,46880.17
2023-11-01,Wind,Telangana,695509.0,44563.68
2023-11-01,Solar,Telangana,748990.0,72311.72
2023-11-01,Bio Power,Telangana,25094.0,10836.37
2023-11-01,Small-Hydro,Telangana,21130.0,4986.74
2023-11-01,Hydro,Tripura,145320.0,46880.17
2023-11-01,Wind,Tripura,695509.0,44563.68
2023-11-01,Solar,Tripura,748990.0,72311.72
2023-11-01,Bio Power,Tripura,25094.0,10836.37
2023-11-01,Small-Hydro,Tripura,21130.0,4986.74
2023-11-01,Hydro,Uttar Pradesh,145320.0,46880.17
2023-11-01,Wind,Uttar Pradesh,695509.0,44563.68
2023-11-01,Solar,Uttar Pradesh,748990.0,72311.72
2023-11-01,Bio Power,Uttar Pradesh,25094.0,10836.37
2023-11-01,Small-Hydro,Uttar Pradesh,21130.0,4986.74
2023-11-01,Hydro,Uttarakhand,145320.0,46880.17
2023-11-01,Wind,Uttarakhand,695509.0,44563.68
2023-11-01,Solar,Uttarakhand,748990.0,72311.72
2023-11-01,Bio Power,Uttarakhand,25094.0,10836.37
2023-11-01,Small-Hydro,Uttarakhand,21130.0,4986.74
2023-11-01,Hydro,West Bengal,145320.0,46880.17
2023-11-01,Wind,West Bengal,695509.0,44563.68
2023-11-01,Solar,West Bengal,748990.0,72311.72
2023-11-01,Bio Power,West Bengal,25094.0,10836.37
2023-11-01,Small-Hydro,West Bengal,21130.0,4986.74
2021-09-01,Hydro,Andaman and Nicobar Islands,145320.0,46512.22
2021-09-01,Wind,Andaman and Nicobar Islands,695509.0,39870.45
2021-09-01,Solar,Andaman and Nicobar Islands,748990.0,46275.14
2021-09-01,Bio Power,Andaman and Nicobar Islands,25094.0,10577.45
2021-09-01,Small-Hydro,Andaman and Nicobar Islands,21130.0,4809.81
2021-09-01,Hydro,Andhra Pradesh,145320.0,46512.22
2021-09-01,Wind,Andhra Pradesh,695509.0,39870.45
2021-09-01,Solar,Andhra Pradesh,748990.0,46275.14
2021-09-01,Bio Power,Andhra Pradesh,25094.0,10577.45
2021-09-01,Small-Hydro,Andhra Pradesh,21130.0,4809.81
2021-09-01,Hydro,Arunachal Pradesh,145320.0,46512.22
2021-09-01,Wind,Arunachal Pradesh,695509.0,39870.45
2021-09-01,Solar,Arunachal Pradesh,748990.0,46275.14
2021-09-01,Bio Power,Arunachal Pradesh,25094.0,10577.45
2021-09-01,Small-Hydro,Arunachal Pradesh,21130.0,4809.81
2021-09-01,Hydro,Assam,145320.0,46512.22
2021-09-01,Wind,Assam,695509.0,39870.45
2021-09-01,Solar,Assam,748990.0,46275.14
2021-09-01,Bio Power,Assam,25094.0,10577.45
2021-09-01,Small-Hydro,Assam,21130.0,4809.81
2021-09-01,Hydro,Bihar,145320.0,46512.22
2021-09-01,Wind,Bihar,695509.0,39870.45
2021-09-01,Solar,Bihar,748990.0,46275.14
2021-09-01,Bio Power,Bihar,25094.0,10577.45
2021-09-01,Small-Hydro,Bihar,21130.0,4809.81
2021-09-01,Hydro,Chandigarh,145320.0,46512.22
2021-09-01,Wind,Chandigarh,695509.0,39870.45
2021-09-01,Solar,Chandigarh,748990.0,46275.14
2021-09-01,Bio Power,Chandigarh,25094.0,10577.45
2021-09-01,Small-Hydro,Chandigarh,21130.0,4809.81
2021-09-01,Hydro,Chhattisgarh,145320.0,46512.22
2021-09-01,Wind,Chhattisgarh,695509.0,39870.45
2021-09-01,Solar,Chhattisgarh,748990.0,46275.14
2021-09-01,Bio Power,Chhattisgarh,25094.0,10577.45
2021-09-01,Small-Hydro,Chhattisgarh,21130.0,4809.81
2021-09-01,Hydro,Dadra and Nagar Haveli,145320.0,46512.22
2021-09-01,Wind,Dadra and Nagar Haveli,695509.0,39870.45
2021-09-01,Solar,Dadra and Nagar Haveli,748990.0,46275.14
2021-09-01,Bio Power,Dadra and Nagar Haveli,25094.0,10577.45
2021-09-01,Small-Hydro,Dadra and Nagar Haveli,21130.0,4809.81
2021-09-01,Hydro,Daman and Diu,145320.0,46512.22
2021-09-01,Wind,Daman and Diu,695509.0,39870.45
2021-09-01,Solar,Daman and Diu,748990.0,46275.14
2021-09-01,Bio Power,Daman and Diu,25094.0,10577.45
2021-09-01,Small-Hydro,Daman and Diu,21130.0,4809.81
2021-09-01,Hydro,Delhi,145320.0,46512.22
2021-09-01,Wind,Delhi,695509.0,39870.45
2021-09-01,Solar,Delhi,748990.0,46275.14
2021-09-01,Bio Power,Delhi,25094.0,10577.45
2021-09-01,Small-Hydro,Delhi,21130.0,4809.81
2021-09-01,Hydro,Goa,145320.0,46512.22
2021-09-01,Wind,Goa,695509.0,39870.45
2021-09-01,Solar,Goa,748990.0,46275.14
2021-09-01,Bio Power,Goa,25094.0,10577.45
2021-09-01,Small-Hydro,Goa,21130.0,4809.81
2021-09-01,Hydro,Gujarat,145320.0,46512.22
2021-09-01,Wind,Gujarat,695509.0,39870.45
2021-09-01,Solar,Gujarat,748990.0,46275.14
2021-09-01,Bio Power,Gujarat,25094.0,10577.45
2021-09-01,Small-Hydro,Gujarat,21130.0,4809.81
2021-09-01,Hydro,Haryana,145320.0,46512.22
2021-09-01,Wind,Haryana,695509.0,39870.45
2021-09-01,Solar,Haryana,748990.0,46275.14
2021-09-01,Bio Power,Haryana,25094.0,10577.45
2021-09-01,Small-Hydro,Haryana,21130.0,4809.81
2021-09-01,Hydro,Himachal Pradesh,145320.0,46512.22
2021-09-01,Wind,Himachal Pradesh,695509.0,39870.45
2021-09-01,Solar,Himachal Pradesh,748990.0,46275.14
2021-09-01,Bio Power,Himachal Pradesh,25094.0,10577.45
2021-09-01,Small-Hydro,Himachal Pradesh,21130.0,4809.81
2021-09-01,Hydro,Jammu and Kashmir,145320.0,46512.22
2021-09-01,Wind,Jammu and Kashmir,695509.0,39870.45
2021-09-01,Solar,Jammu and Kashmir,748990.0,46275.14
2021-09-01,Bio Power,Jammu and Kashmir,25094.0,10577.45
2021-09-01,Small-Hydro,Jammu and Kashmir,21130.0,4809.81
2021-09-01,Hydro,Jharkhand,145320.0,46512.22
2021-09-01,Wind,Jharkhand,695509.0,39870.45
2021-09-01,Solar,Jharkhand,748990.0,46275.14
2021-09-01,Bio Power,Jharkhand,25094.0,10577.45
2021-09-01,Small-Hydro,Jharkhand,21130.0,4809.81
2021-09-01,Hydro,Karnataka,145320.0,46512.22
2021-09-01,Wind,Karnataka,695509.0,39870.45
2021-09-01,Solar,Karnataka,748990.0,46275.14
2021-09-01,Bio Power,Karnataka,25094.0,10577.45
2021-09-01,Small-Hydro,Karnataka,21130.0,4809.81
2021-09-01,Hydro,Kerala,145320.0,46512.22
2021-09-01,Wind,Kerala,695509.0,39870.45
2021-09-01,Solar,Kerala,748990.0,46275.14
2021-09-01,Bio Power,Kerala,25094.0,10577.45
2021-09-01,Small-Hydro,Kerala,21130.0,4809.81
2021-09-01,Hydro,Ladakh,145320.0,46512.22
2021-09-01,Wind,Ladakh,695509.0,39870.45
2021-09-01,Solar,Ladakh,748990.0,46275.14
2021-09-01,Bio Power,Ladakh,25094.0,10577.45
2021-09-01,Small-Hydro,Ladakh,21130.0,4809.81
2021-09-01,Hydro,Lakshadweep,145320.0,46512.22
2021-09-01,Wind,Lakshadweep,695509.0,39870.45
2021-09-01,Solar,Lakshadweep,748990.0,46275.14
2021-09-01,Bio Power,Lakshadweep,25094.0,10577.45
2021-09-01,Small-Hydro,Lakshadweep,21130.0,4809.81
2021-09-01,Hydro,Madhya Pradesh,145320.0,46512.22
2021-09-01,Wind,Madhya Pradesh,695509.0,39870.45
2021-09-01,Solar,Madhya Pradesh,748990.0,46275.14
2021-09-01,Bio Power,Madhya Pradesh,25094.0,10577.45
2021-09-01,Small-Hydro,Madhya Pradesh,21130.0,4809.81
2021-09-01,Hydro,Maharashtra,145320.0,46512.22
2021-09-01,Wind,Maharashtra,695509.0,39870.45
2021-09-01,Solar,Maharashtra,748990.0,46275.14
2021-09-01,Bio Power,Maharashtra,25094.0,10577.45
2021-09-01,Small-Hydro,Maharashtra,21130.0,4809.81
2021-09-01,Hydro,Manipur,145320.0,46512.22
2021-09-01,Wind,Manipur,695509.0,39870.45
2021-09-01,Solar,Manipur,748990.0,46275.14
2021-09-01,Bio Power,Manipur,25094.0,10577.45
2021-09-01,Small-Hydro,Manipur,21130.0,4809.81
2021-09-01,Hydro,Meghalaya,145320.0,46512.22
2021-09-01,Wind,Meghalaya,695509.0,39870.45
2021-09-01,Solar,Meghalaya,748990.0,46275.14
2021-09-01,Bio Power,Meghalaya,25094.0,10577.45
2021-09-01,Small-Hydro,Meghalaya,21130.0,4809.81
2021-09-01,Hydro,Mizoram,145320.0,46512.22
2021-09-01,Wind,Mizoram,695509.0,39870.45
2021-09-01,Solar,Mizoram,748990.0,46275.14
2021-09-01,Bio Power,Mizoram,25094.0,10577.45
2021-09-01,Small-Hydro,Mizoram,21130.0,4809.81
2021-09-01,Hydro,Nagaland,145320.0,46512.22
2021-09-01,Wind,Nagaland,695509.0,39870.45
2021-09-01,Solar,Nagaland,748990.0,46275.14
2021-09-01,Bio Power,Nagaland,25094.0,10577.45
2021-09-01,Small-Hydro,Nagaland,21130.0,4809.81
2021-09-01,Hydro,Odisha,145320.0,46512.22
2021-09-01,Wind,Odisha,695509.0,39870.45
2021-09-01,Solar,Odisha,748990.0,46275.14
2021-09-01,Bio Power,Odisha,25094.0,10577.45
2021-09-01,Small-Hydro,Odisha,21130.0,4809.81
2021-09-01,Hydro,Others,145320.0,46512.22
2021-09-01,Wind,Others,695509.0,39870.45
2021-09-01,Solar,Others,748990.0,46275.14
2021-09-01,Bio Power,Others,25094.0,10577.45
2021-09-01,Small-Hydro,Others,21130.0,4809.81
2021-09-01,Hydro,Puducherry,145320.0,46512.22
2021-09-01,Wind,Puducherry,695509.0,39870.45
2021-09-01,Solar,Puducherry,748990.0,46275.14
2021-09-01,Bio Power,Puducherry,25094.0,10577.45
2021-09-01,Small-Hydro,Puducherry,21130.0,4809.81
2021-09-01,Hydro,Punjab,145320.0,46512.22
2021-09-01,Wind,Punjab,695509.0,39870.45
2021-09-01,Solar,Punjab,748990.0,46275.14
2021-09-01,Bio Power,Punjab,25094.0,10577.45
2021-09-01,Small-Hydro,Punjab,21130.0,4809.81
2021-09-01,Hydro,Rajasthan,145320.0,46512.22
2021-09-01,Wind,Rajasthan,695509.0,39870.45
2021-09-01,Solar,Rajasthan,748990.0,46275.14
2021-09-01,Bio Power,Rajasthan,25094.0,10577.45
2021-09-01,Small-Hydro,Rajasthan,21130.0,4809.81
2021-09-01,Hydro,Sikkim,145320.0,46512.22
2021-09-01,Wind,Sikkim,695509.0,39870.45
2021-09-01,Solar,Sikkim,748990.0,46275.14
2021-09-01,Bio Power,Sikkim,25094.0,10577.45
2021-09-01,Small-Hydro,Sikkim,21130.0,4809.81
2021-09-01,Hydro,Tamil Nadu,145320.0,46512.22
2021-09-01,Wind,Tamil Nadu,695509.0,39870.45
2021-09-01,Solar,Tamil Nadu,748990.0,46275.14
2021-09-01,Bio Power,Tamil Nadu,25094.0,10577.45
2021-09-01,Small-Hydro,Tamil Nadu,21130.0,4809.81
2021-09-01,Hydro,Telangana,145320.0,46512.22
2021-09-01,Wind,Telangana,695509.0,39870.45
2021-09-01,Solar,Telangana,748990.0,46275.14
2021-09-01,Bio Power,Telangana,25094.0,10577.45
2021-09-01,Small-Hydro,Telangana,21130.0,4809.81
2021-09-01,Hydro,Tripura,145320.0,46512.22
2021-09-01,Wind,Tripura,695509.0,39870.45
2021-09-01,Solar,Tripura,748990.0,46275.14
2021-09-01,Bio Power,Tripura,25094.0,10577.45
2021-09-01,Small-Hydro,Tripura,21130.0,4809.81
2021-09-01,Hydro,Uttar Pradesh,145320.0,46512.22
2021-09-01,Wind,Uttar Pradesh,695509.0,39870.45
2021-09-01,Solar,Uttar Pradesh,748990.0,46275.14
2021-09-01,Bio Power,Uttar Pradesh,25094.0,10577.45
2021-09-01,Small-Hydro,Uttar Pradesh,21130.0,4809.81
2021-09-01,Hydro,Uttarakhand,145320.0,46512.22
2021-09-01,Wind,Uttarakhand,695509.0,39870.45
2021-09-01,Solar,Uttarakhand,748990.0,46275.14
2021-09-01,Bio Power,Uttarakhand,25094.0,10577.45
2021-09-01,Small-Hydro,Uttarakhand,21130.0,4809.81
2021-09-01,Hydro,West Bengal,145320.0,46512.22
2021-09-01,Wind,West Bengal,695509.0,39870.45
2021-09-01,Solar,West Bengal,748990.0,46275.14
2021-09-01,Bio Power,West Bengal,25094.0,10577.45
2021-09-01,Small-Hydro,West Bengal,21130.0,4809.81
2021-05-01,Hydro,Andaman and Nicobar Islands,145320.0,46209.22
2021-05-01,Wind,Andaman and Nicobar Islands,695509.0,39442.25
2021-05-01,Solar,Andaman and Nicobar Islands,748990.0,41087.63
2021-05-01,Bio Power,Andaman and Nicobar Islands,25094.0,10339.56
2021-05-01,Small-Hydro,Andaman and Nicobar Islands,21130.0,4786.81
2021-05-01,Hydro,Andhra Pradesh,145320.0,46209.22
2021-05-01,Wind,Andhra Pradesh,695509.0,39442.25
2021-05-01,Solar,Andhra Pradesh,748990.0,41087.63
2021-05-01,Bio Power,Andhra Pradesh,25094.0,10339.56
2021-05-01,Small-Hydro,Andhra Pradesh,21130.0,4786.81
2021-05-01,Hydro,Arunachal Pradesh,145320.0,46209.22
2021-05-01,Wind,Arunachal Pradesh,695509.0,39442.25
2021-05-01,Solar,Arunachal Pradesh,748990.0,41087.63
2021-05-01,Bio Power,Arunachal Pradesh,25094.0,10339.56
2021-05-01,Small-Hydro,Arunachal Pradesh,21130.0,4786.81
2021-05-01,Hydro,Assam,145320.0,46209.22
2021-05-01,Wind,Assam,695509.0,39442.25
2021-05-01,Solar,Assam,748990.0,41087.63
2021-05-01,Bio Power,Assam,25094.0,10339.56
2021-05-01,Small-Hydro,Assam,21130.0,4786.81
2021-05-01,Hydro,Bihar,145320.0,46209.22
2021-05-01,Wind,Bihar,695509.0,39442.25
2021-05-01,Solar,Bihar,748990.0,41087.63
2021-05-01,Bio Power,Bihar,25094.0,10339.56
2021-05-01,Small-Hydro,Bihar,21130.0,4786.81
2021-05-01,Hydro,Chandigarh,145320.0,46209.22
2021-05-01,Wind,Chandigarh,695509.0,39442.25
2021-05-01,Solar,Chandigarh,748990.0,41087.63
2021-05-01,Bio Power,Chandigarh,25094.0,10339.56
2021-05-01,Small-Hydro,Chandigarh,21130.0,4786.81
2021-05-01,Hydro,Chhattisgarh,145320.0,46209.22
2021-05-01,Wind,Chhattisgarh,695509.0,39442.25
2021-05-01,Solar,Chhattisgarh,748990.0,41087.63
2021-05-01,Bio Power,Chhattisgarh,25094.0,10339.56
2021-05-01,Small-Hydro,Chhattisgarh,21130.0,4786.81
2021-05-01,Hydro,Dadra and Nagar Haveli,145320.0,46209.22
2021-05-01,Wind,Dadra and Nagar Haveli,695509.0,39442.25
2021-05-01,Solar,Dadra and Nagar Haveli,748990.0,41087.63
2021-05-01,Bio Power,Dadra and Nagar Haveli,25094.0,10339.56
2021-05-01,Small-Hydro,Dadra and Nagar Haveli,21130.0,4786.81
2021-05-01,Hydro,Daman and Diu,145320.0,46209.22
2021-05-01,Wind,Daman and Diu,695509.0,39442.25
2021-05-01,Solar,Daman and Diu,748990.0,41087.63
2021-05-01,Bio Power,Daman and Diu,25094.0,10339.56
2021-05-01,Small-Hydro,Daman and Diu,21130.0,4786.81
2021-05-01,Hydro,Delhi,145320.0,46209.22
2021-05-01,Wind,Delhi,695509.0,39442.25
2021-05-01,Solar,Delhi,748990.0,41087.63
2021-05-01,Bio Power,Delhi,25094.0,10339.56
2021-05-01,Small-Hydro,Delhi,21130.0,4786.81
2021-05-01,Hydro,Goa,145320.0,46209.22
2021-05-01,Wind,Goa,695509.0,39442.25
2021-05-01,Solar,Goa,748990.0,41087.63
2021-05-01,Bio Power,Goa,25094.0,10339.56
2021-05-01,Small-Hydro,Goa,21130.0,4786.81
2021-05-01,Hydro,Gujarat,145320.0,46209.22
2021-05-01,Wind,Gujarat,695509.0,39442.25
2021-05-01,Solar,Gujarat,748990.0,41087.63
2021-05-01,Bio Power,Gujarat,25094.0,10339.56
2021-05-01,Small-Hydro,Gujarat,21130.0,4786.81
2021-05-01,Hydro,Haryana,145320.0,46209.22
2021-05-01,Wind,Haryana,695509.0,39442.25
2021-05-01,Solar,Haryana,748990.0,41087.63
2021-05-01,Bio Power,Haryana,25094.0,10339.56
2021-05-01,Small-Hydro,Haryana,21130.0,4786.81
2021-05-01,Hydro,Himachal Pradesh,145320.0,46209.22
2021-05-01,Wind,Himachal Pradesh,695509.0,39442.25
2021-05-01,Solar,Himachal Pradesh,748990.0,41087.63
2021-05-01,Bio Power,Himachal Pradesh,25094.0,10339.56
2021-05-01,Small-Hydro,Himachal Pradesh,21130.0,4786.81
2021-05-01,Hydro,Jammu and Kashmir,145320.0,46209.22
2021-05-01,Wind,Jammu and Kashmir,695509.0,39442.25
2021-05-01,Solar,Jammu and Kashmir,748990.0,41087.63
2021-05-01,Bio Power,Jammu and Kashmir,25094.0,10339.56
2021-05-01,Small-Hydro,Jammu and Kashmir,21130.0,4786.81
2021-05-01,Hydro,Jharkhand,145320.0,46209.22
2021-05-01,Wind,Jharkhand,695509.0,39442.25
2021-05-01,Solar,Jharkhand,748990.0,41087.63
2021-05-01,Bio Power,Jharkhand,25094.0,10339.56
2021-05-01,Small-Hydro,Jharkhand,21130.0,4786.81
2021-05-01,Hydro,Karnataka,145320.0,46209.22
2021-05-01,Wind,Karnataka,695509.0,39442.25
2021-05-01,Solar,Karnataka,748990.0,41087.63
2021-05-01,Bio Power,Karnataka,25094.0,10339.56
2021-05-01,Small-Hydro,Karnataka,21130.0,4786.81
2021-05-01,Hydro,Kerala,145320.0,46209.22
2021-05-01,Wind,Kerala,695509.0,39442.25
2021-05-01,Solar,Kerala,748990.0,41087.63
2021-05-01,Bio Power,Kerala,25094.0,10339.56
2021-05-01,Small-Hydro,Kerala,21130.0,4786.81
